id_mutation,valeur_fonciere,surface_reelle_bati,prix_m2,nombre_pieces_principales,type_local,nom_commune,nom_iris,code_commune,code_departement,code_iris,id_parcelles,longitude,latitude,date_mutation
2019-1083312,265000.0,25,10600,1,appartement,Paris 16e Arrondissement,Muette 11,75116,75,751166211,75116000CI0068,2.276736,48.857273,2019-02-28
2019-1076298,600000.0,57,10526,2,appartement,Paris 13e Arrondissement,Croulebarbe 6,75113,75,751135206,75113000EK0016,2.343968,48.834335,2019-07-05
2018-1403163,215000.0,21,10238,1,appartement,Paris 18e Arrondissement,Clignancourt 24,75118,75,751187024,75118000BE0082,2.3435900000000003,48.89503,2018-11-16
2019-1095941,440000.0,31,14193,2,appartement,Paris 19e Arrondissement,Amerique 3,75119,75,751197503,75119000DV0110,2.398199,48.87698,2019-01-23
2019-1074824,112000.0,11,10181,1,appartement,Paris 11e Arrondissement,Saint-Ambroise 10,75111,75,751114210,75111000AR0049,2.372623,48.86373,2019-05-15
2018-1393138,1200000.0,131,9160,5,appartement,Paris 16e Arrondissement,Auteuil 7,75116,75,751166107,75116000AY0068,2.259315,48.84324,2018-06-29
2019-1077227,177500.0,20,8875,1,appartement,Paris 14e Arrondissement,Plaisance 23,75114,75,751145623,75114000DR0095,2.322385,48.835987,2019-02-13
2019-1095364,300000.0,38,7894,2,appartement,Paris 18e Arrondissement,Clignancourt 22,75118,75,751187022,75118000BH0052,2.344055,48.89403,2019-12-16
2019-1076954,345000.0,35,9857,2,appartement,Paris 13e Arrondissement,Croulebarbe 1,75113,75,751135201,75113000EU0035,2.353413,48.833122,2019-10-31
2019-1093560,605000.0,68,8897,3,appartement,Paris 18e Arrondissement,Clignancourt 26,75118,75,751187026,75118000BD0035,2.345841,48.89703,2019-07-08
2018-1379396,351200.0,44,7981,2,appartement,Paris 12e Arrondissement,Picpus 15,75112,75,751124615,75112000BZ0040,2.400097,48.84222000000001,2018-07-10
2018-1373894,180000.0,17,10588,1,appartement,Paris 10e Arrondissement,Hopital Saint-Louis 8,75110,75,751104008,75110000BR0010,2.362334,48.877308,2018-06-14
2019-1094571,330000.0,30,11000,1,appartement,Paris 18e Arrondissement,Clignancourt 3,75118,75,751187003,75118000BQ0080,2.34104,48.882973,2019-09-25
2019-1089095,2090200.0,160,13063,7,appartement,Paris 17e Arrondissement,Batignolles 5,75117,75,751176705,75117000CP0046,2.320685,48.885845,2019-07-03
2018-1369555,25000.0,8,3125,1,appartement,Paris 6e Arrondissement,Monnaie 3,75106,75,751062103,75106000AE0091,2.343442,48.853043,2018-04-05
2018-1391984,700000.0,84,8333,2,appartement,Paris 16e Arrondissement,Auteuil 25,75116,75,751166125,75116000BU0038,2.274122,48.852276,2018-03-29
2018-1366138,680000.0,65,10461,3,appartement,Paris 8e Arrondissement,Europe 7,75108,75,751083207,75108000CD0039,2.324912,48.88233,2018-02-26
2018-1373453,615000.0,59,10423,3,appartement,Paris 10e Arrondissement,Saint-Vincent de Paul 2,75110,75,751103702,75110000AG0047,2.362613,48.879658,2018-05-07
2019-1080961,373000.0,32,11656,2,appartement,Paris 15e Arrondissement,Necker 10,75115,75,751155810,75115000BX0035,2.299535,48.845936,2019-07-15
2018-1402952,513741.0,52,9879,3,appartement,Paris 18e Arrondissement,Clignancourt 22,75118,75,751187022,75118000BH0035,2.3433580000000003,48.893333,2018-10-08
2018-1405867,560000.0,61,9180,3,appartement,Paris 19e Arrondissement,Combat 3,75119,75,751197603,75119000EB0011,2.383055,48.876114,2018-05-16
2019-1100852,370000.0,37,10000,2,appartement,Paris 4e Arrondissement,Saint-Merri 2,75104,75,751041302,75104000AF0017,2.353209,48.8587,2019-01-24
2018-1367873,455000.0,45,10111,2,appartement,Paris 3e Arrondissement,Les Archives 2,75103,75,751031102,75103000AN0035,2.365535,48.85784500000001,2018-10-16
2018-1389330,558720.0,59,9469,3,appartement,Paris 15e Arrondissement,Saint-Lambert 25,75115,75,751155725,75115000BS0026,2.297512,48.838284,2018-08-30
2019-1067070,425000.0,28,15178,2,appartement,Paris 6e Arrondissement,Notre Dame des Champs 10,75106,75,751062310,75106000BH0031,2.328519,48.85038,2019-04-19
2019-1088960,1232370.0,101,12201,5,appartement,Paris 17e Arrondissement,Batignolles 10,75117,75,751176710,75117000CH0028,2.313017,48.885277,2019-06-27
2019-1068612,1665000.0,109,15275,3,appartement,Paris 6e Arrondissement,Notre Dame des Champs 5,75106,75,751062305,75106000AV0103,2.3269040000000003,48.846348,2019-09-30
2019-1088686,477000.0,27,17666,2,appartement,Paris 17e Arrondissement,Plaine Monceau 2,75117,75,751176602,75117000BQ0085,2.313179,48.88387,2019-06-24
2019-1080234,611000.0,56,10910,2,appartement,Paris 15e Arrondissement,Javel 13,75115,75,751156013,75115000FX0037,2.2825740000000003,48.844067,2019-05-23
2018-1386642,482000.0,55,8763,2,appartement,Paris 15e Arrondissement,Saint-Lambert 3,75115,75,751155703,75115000AQ0091,2.302765,48.830177,2018-02-08
2018-1385718,825000.0,72,11458,4,appartement,Paris 14e Arrondissement,Plaisance 7,75114,75,751145607,75114000CS0120,2.317396,48.82904,2018-10-04
2018-1383622,637500.0,69,9239,3,appartement,Paris 13e Arrondissement,Maison Blanche 22,75113,75,751135122,75113000ED0102,2.351234,48.827583,2018-10-04
2019-1090117,206450.0,21,9830,1,appartement,Paris 17e Arrondissement,Epinettes 7,75117,75,751176807,75117000DH0132,2.321425,48.89227,2019-10-07
2018-1400990,113000.0,11,10272,1,appartement,Paris 18e Arrondissement,Clignancourt 24,75118,75,751187024,75118000BE0079,2.343846,48.89513,2018-05-23
2018-1391042,315000.0,30,10500,2,appartement,Paris 15e Arrondissement,Saint-Lambert 10,75115,75,751155710,75115000BK0018,2.288922,48.838097,2018-12-27
2018-1402082,366000.0,58,6310,4,appartement,Paris 18e Arrondissement,Chapelle 5,75118,75,751187205,75118000CZ0021,2.361734,48.893486,2018-07-26
2019-1096647,260000.0,23,11304,1,appartement,Paris 19e Arrondissement,Villette 2,75119,75,751197302,75119000AV0111,2.37577,48.8837,2019-03-08
